channel_id,channel_name_note,backup_enabled
C4AJMKP1A,general,true
C4VDXH44V,growthhack,false
C4XV76JP3,web_lab,false
CA8MMDWF7,4-1web_development,false
CB0P61KBN,general-affair,false
CMU85AZ6H,busine,false
C011NA2SWAY,online_geijyutsu,false
C013W67C94P,6-2movie,false
C02DX5134GN,heyasupo_tv,false
C037H0U29J8,design-request,false
C03BLRSCS2J,biz-dev_advanced,false
C03BQK6KXPF,3-1marketing,false
C03C64K2N3B,data-design,false
C03JSM6TDM1,assist_lp-design,false
C03RNJY4HFZ,2-1ope_体験,false
C047BT6NRT8,operation-planning,false
C04CULR7ACQ,3-3marketing_sns,false
C04J9KPN8SC,2-1ope_電話,false
C04KM9VLR40,2-3ope_入退休会-クラス変更,false
C04LATKE25T,3-2marketing_ad,false
C04RXSWEDMF,assist_marketing_idea,false
C04UVRHGQ6B,3-7episode,false
C051K4NA4MU,3-4marketing_influencer,false
C053RH7GFU7,3-98marketing_csteam,false
C054ZC17HH7,4-9web_renewal,false
C0556AN6QD8,3-6marketing_litalico,false
C058KHYUG7Q,2-4ope_急ぎ,false
C058RM5UFM1,2-6program,false
C05CATG4084,3-5marketing_affiliate,false
C05FCJ15WUV,3-8marketing_off-line,false
C05FE2S1SSW,2-5ope_ツール,false
C05JG46P08Z,3-6marketing_off-line_design,false
C05KP2RNXQX,4-2web_design,false
C05PFQFDS3W,4-0web_releases,false
C0643AC1R41,3-6marketing_mitene,false
C065LAJCF1R,3-5marketing_media,false
C067K2PGZMX,line_test_2,false
C0688434DMJ,line_channel,false
C068JMG5F8C,2-3ope_シフト,false
C069FT6TK6K,1-4biz-dev_tob,false
C06CQJPJ2V8,2-3ope_面談調整,false
C06CS9AG6TU,2-3ope_入会キット,false
C06DFHJ0M2B,2-6program_tob_design,false
C06GXPGEUCB,2-8勤怠,false
C06HPM93CUE,2-1ope_体験報告,false
C06JYDSA5UP,1-3biz-dev_alliance,false
C06QVCTM29E,2-9雑談,false
C06UF3PQSAF,1-5biz-dev_study,false
C073UKVAYKX,2-8緊急対応レクチャー,false
C075CJF2K2N,2-2ope_会員ux設計,true
C079Z8N4M7V,3-6marketing_comotto,false
C07ENL0QR7A,kpi,false
C07KUB3GR0X,2-6program-デザイン,false
C07L27RSKTQ,3-8press-release,false
C0861A5Q3U5,2-2ope_相談支援,false
C086H3CC0QK,3-11marketing_youtube,false
C088YK87E3A,1-3lobbying,false
C08C6KYPW6A,5-1coach_養成講座,false
C08CZPFSTDK,3-8pr,false
C08DFEKDFBQ,2-2ope_相談支援_事業所間連携,false
C08DWGD6JLV,3-12youtube_production,false
C08E2HCBL77,authn-基本の対応時間9時-19時,false
C08E57FSFSP,introduction,true
C08GB9Q255F,2-2ope_継続率向上pj,true
C08H6J8H52P,養成講座_メール送信エラー通知,false
C08KM0RM602,3-7tier1gogo_shisetu,false
C08L2P7C9ED,2-2ope_動作解析tech,false
C08RX940TPZ,2-4incident,false
C08TGPN0YPM,1次打診中250523井場正晃,false
C0905FNE7C4,2-2ope_メニュー作成時短pj,false
C092T0HAD54,3-7tier1gogo_seminar-sodan,false
C092Z8R1A0H,1-4biz-dev_takumisan,true
C093KJ2GBBN,5-4coach_本部otメンバー,false
C094ZBN25ME,5-4本部コーチ全体,false
C095FBCD4JF,2-1ope_公式line-非会員-体験,false
C098BBR2HQ9,backup,false
C098T4L6DC4,3-9offevent,false
C099ZMJ1Q4A,2-9企画andシェアチャンネル,false
C05FLUC4LE5,2-2ope_会員line,false
