日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20251130,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20251130,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,138A,光フードサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
20251130,1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20251130,141A,トライアルホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
20251130,142A,ジンジブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251130,1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20251130,1436,グリーンエナジー＆カンパニー,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20251130,143A,イシン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251130,1444,ニッソウ,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20251130,1447,ＳＡＡＦホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20251130,145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,147A,ソラコム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,148A,ハッチ・ワーク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,149A,シンカ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,150A,ＪＳＨ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251130,151A,ダイブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251130,153A,カウリス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,155A,情報戦略テクノロジー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,156A,マテリアルグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251130,157A,グリーンモンスター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251130,166A,タスキホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20251130,168A,イタミアート,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20251130,173A,ハンモック,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251130,176A,レジル,グロース（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
20251130,177A,コージンバイオ,グロース（内国株式）,3200,化学,4,素材・化学,-,-
